epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,653.12,1.99526,11.7401,2.42255,0.22236,0.38906,0.26395,0.10832,2.02477,13.1326,2.61054,0.00703,0.00703,0.00703
47,666.898,1.97333,11.8472,2.41504,0.23275,0.33437,0.22694,0.08557,2.09302,14.1843,2.70809,0.006964,0.006964,0.006964
48,680.551,1.97165,11.5834,2.36262,0.71735,0.20963,0.26815,0.11723,2.00388,12.3177,2.59822,0.006898,0.006898,0.006898
49,694.334,1.95972,11.7143,2.38195,0.25675,0.31231,0.28254,0.11604,1.9794,12.9808,2.57422,0.006832,0.006832,0.006832
50,707.955,1.93687,11.295,2.34972,0.26853,0.33713,0.22982,0.09164,2.08141,13.7723,2.66935,0.006766,0.006766,0.006766
51,721.538,1.95247,11.5543,2.3869,0.33205,0.42754,0.33771,0.1414,1.97226,12.0793,2.55417,0.0067,0.0067,0.0067
52,735.397,1.9513,11.5823,2.36458,0.27892,0.32471,0.25576,0.10126,2.08862,14.4856,2.70311,0.006634,0.006634,0.006634
53,748.911,1.93166,11.3149,2.30266,0.25671,0.38854,0.25982,0.10288,2.06317,12.7942,2.64926,0.006568,0.006568,0.006568
54,762.494,1.88693,11.0156,2.32649,0.35551,0.42547,0.34372,0.14629,1.91358,11.8295,2.52564,0.006502,0.006502,0.006502
55,776.381,1.93671,11.0924,2.32248,0.31834,0.41201,0.3354,0.14841,1.89832,11.811,2.51454,0.006436,0.006436,0.006436
56,790.562,1.88521,10.6994,2.29875,0.38915,0.42736,0.32939,0.13455,1.92014,12.3074,2.48798,0.00637,0.00637,0.00637
57,804.216,1.87148,10.5985,2.26641,0.3346,0.41564,0.3374,0.13388,1.96308,12.7215,2.5628,0.006304,0.006304,0.006304
58,817.867,1.89216,10.5988,2.27577,0.27687,0.41253,0.28258,0.10661,2.11169,12.8396,2.7161,0.006238,0.006238,0.006238
59,831.385,1.87136,10.8577,2.29122,0.33024,0.35766,0.28388,0.11242,2.06656,13.3734,2.63112,0.006172,0.006172,0.006172
60,844.969,1.85152,10.4542,2.26723,0.23681,0.42409,0.30434,0.12495,2.00155,12.213,2.57679,0.006106,0.006106,0.006106
61,858.513,1.86719,10.5385,2.26134,0.29945,0.40084,0.2653,0.09644,2.12403,12.9006,2.70566,0.00604,0.00604,0.00604
62,872.103,1.81029,10.3075,2.18981,0.3682,0.44393,0.35543,0.15245,1.91565,11.1788,2.47529,0.005974,0.005974,0.005974
63,885.853,1.83684,10.3644,2.26702,0.24679,0.42662,0.26749,0.10212,2.02155,13.0628,2.65126,0.005908,0.005908,0.005908
64,899.521,1.8322,10.1978,2.26627,0.28621,0.41149,0.33844,0.13135,1.97789,11.7541,2.58604,0.005842,0.005842,0.005842
